1;Elspeth, Sun's Champion;Top rares
2;Polukranos, World Eater;Top rares
3;Stormbreath Dragon;Top rares
4;Prognostic Sphinx;Top rares
5;Fabled Hero;Top rares
6;Celestial Archon;Top rares
7;Abhorrent Overlord;Top rares
8;Arbor Colossus;Top rares
9;Agent of the Fates;Top rares
10;Bow of Nylea;Top rares
11;Spear of Heliod;Top rares
12;Hammer of Purphoros;Top rares
13;Boon Satyr;Top rares
1;Phalanx Leader;Top uncommons
2;Sea God's Revenge;Top uncommons
3;Keepsake Gorgon;Top uncommons
1;Hythonia the Cruel;Rares that are better than the top commons, but worse than the top uncommons
2;Shipbreaker Kraken;Rares that are better than the top commons, but worse than the top uncommons
3;Hundred-Handed One;Rares that are better than the top commons, but worse than the top uncommons
4;Ember Swallower;Rares that are better than the top commons, but worse than the top uncommons
5;Hero's Downfall;Rares that are better than the top commons, but worse than the top uncommons
6;Master of Waves;Rares that are better than the top commons, but worse than the top uncommons
7;Bident of Thassa;Rares that are better than the top commons, but worse than the top uncommons
8;Nighthowler;Rares that are better than the top commons, but worse than the top uncommons
1;Heliod's Emissary;The top commons and uncommons/rares of similar quality
2;Thassa's Emissary;The top commons and uncommons/rares of similar quality
3;Erebos's Emissary;The top commons and uncommons/rares of similar quality
4;Nimbus Naiad;The top commons and uncommons/rares of similar quality
5;Gray Merchant of Asphodel;The top commons and uncommons/rares of similar quality
6;Wingsteed Rider;The top commons and uncommons/rares of similar quality
7;Voyage's End;The top commons and uncommons/rares of similar quality
8;Lightning Strike;The top commons and uncommons/rares of similar quality
9;Whip of Erebos;The top commons and uncommons/rares of similar quality
10;Griptide;The top commons and uncommons/rares of similar quality
11;Sylvan Caryatid;The top commons and uncommons/rares of similar quality
12;Mistcutter Hydra;The top commons and uncommons/rares of similar quality
13;Voyaging Satyr;The top commons and uncommons/rares of similar quality
14;Leafcrown Dryad;The top commons and uncommons/rares of similar quality
15;Nylea's Emissary;The top commons and uncommons/rares of similar quality
16;Nessian Asp;The top commons and uncommons/rares of similar quality
1;Nemesis of Mortals;A batch of uncommons/rares that are slightly worse than the top commons
2;Thassa, God of the Sea;A batch of uncommons/rares that are slightly worse than the top commons
3;Magma Jet;A batch of uncommons/rares that are slightly worse than the top commons
4;Heliod, God of the Sun;A batch of uncommons/rares that are slightly worse than the top commons
5;Triton Tactics;A batch of uncommons/rares that are slightly worse than the top commons
6;Purphoros's Emissary;A batch of uncommons/rares that are slightly worse than the top commons
7;Artisan of Forms;A batch of uncommons/rares that are slightly worse than the top commons
8;Coordinated Assault;A batch of uncommons/rares that are slightly worse than the top commons
9;Dauntless Onslaught;A batch of uncommons/rares that are slightly worse than the top commons
10;Insatiable Harpy;A batch of uncommons/rares that are slightly worse than the top commons
11;Purphoros, God of the Forge;A batch of uncommons/rares that are slightly worse than the top commons
12;Curse of the Swine;A batch of uncommons/rares that are slightly worse than the top commons
13;Mogis's Marauder;A batch of uncommons/rares that are slightly worse than the top commons
14;Anger of the Gods;A batch of uncommons/rares that are slightly worse than the top commons
1;Observant Alseid;The good commons and uncommon/rares of similar quality
2;Time to Feed;The good commons and uncommon/rares of similar quality
3;Vaporkin;The good commons and uncommon/rares of similar quality
4;Nessian Courser;The good commons and uncommon/rares of similar quality
5;Horizon Scholar;The good commons and uncommon/rares of similar quality
6;Prescient Chimera;The good commons and uncommon/rares of similar quality
7;Lash of the Whip;The good commons and uncommon/rares of similar quality
8;Ill-Tempered Cyclops;The good commons and uncommon/rares of similar quality
9;Rageblood Shaman;The good commons and uncommon/rares of similar quality
10;Ordeal of Purphoros;The good commons and uncommon/rares of similar quality
11;Gods Willing;The good commons and uncommon/rares of similar quality
12;Fanatic of Mogis;The good commons and uncommon/rares of similar quality
13;Divine Verdict;The good commons and uncommon/rares of similar quality
14;Hopeful Eidolon;The good commons and uncommon/rares of similar quality
